epoch,accuracy,loss,val_accuracy,val_loss
0,0.126,2.2907830119132995,0.10942500084638596,2.3087717559933663
1,0.126,2.2786484718322755,0.1332249939441681,2.266604865193367
2,0.14,2.2749682426452638,0.12300000339746475,2.281865548193455
3,0.14,2.2618873596191404,0.1336749941110611,2.26445358812809
4,0.174,2.257508432865143,0.13497500121593475,2.2773657229542734
5,0.138,2.254868245124817,0.11240000277757645,2.2486988964676855
6,0.155,2.226007854938507,0.13619999587535858,2.2547011044621468
7,0.174,2.225205659866333,0.15482500195503235,2.2482524582743646
8,0.164,2.2023744106292726,0.1701499968767166,2.306049264669418
9,0.194,2.1737128853797913,0.20887500047683716,2.1545826315879824
10,0.223,2.080659192800522,0.19449999928474426,2.151045743525028
11,0.251,2.0844240367412565,0.23714999854564667,2.0650128363072873
12,0.263,2.025796723365784,0.2300499975681305,2.0874163611233234
13,0.285,1.9833534717559815,0.23992499709129333,2.057801878452301
14,0.303,1.938442450761795,0.23659999668598175,2.0727491649985312
