þStartfischer p33-6 hf8 fc6x
Ch0:; 4379160; 6024386
Ch1:; 4377638; 5268408
Ch2:; 4350030; 5318254
Ch3:; 4345238; 4996561
Ch4:;     212;   69019
Ch5:;  251693; 1175102
Ch6:;  279637;  542804
Ch7:;  278468;  495493
Ch8:;  277076; 1064804
V:;    1552

Ch0:; 4433462; 6015785
Ch1:; 4436693; 5328840
Ch2:; 4407885; 5319625
Ch3:; 4409079; 5008094
Ch4:;      73;   65763
Ch5:;  251722; 1358453
Ch6:;  282919;  575949
Ch7:;  281940;  486758
Ch8:;  281959; 1125907
V:;    1965
Ch0:; 4439152; 5945171
Ch1:; 4434913; 5232101
Ch2:; 4409122; 5216652
Ch3:; 4409819; 4958004
Ch4:;      59;   66062
Ch5:;  253130; 1554956
Ch6:;  278758;  532328
Ch7:;  277788;  473432
Ch8:;  278666;  956602
V:;    1850
Ch0:; 4439437; 6029995
Ch1:; 4432863; 5323349
Ch2:; 4409729; 5315552
Ch3:; 4404600; 5029271
Ch4:;     111;   65256
Ch5:;  253916; 1543599
Ch6:;  285634;  570792
Ch7:;  284842;  487655
Ch8:;  285155; 1089538
V:;    1754
Ch0:; 4438504; 6006557
Ch1:; 4436464; 5309794
Ch2:; 4404687; 5321343
Ch3:; 4408650; 5045318
Ch4:;     353;   64503
Ch5:;  254840; 1754038
Ch6:;  279611;  511998
Ch7:;  277851;  476782
Ch8:;  278821;  930961
V:;    1567
Ch0:; 4436759; 5992733
Ch1:; 4432361; 5300074
Ch2:; 4404290; 5376249
Ch3:; 4405834; 5057470
Ch4:;      65;   66534
Ch5:;  256483; 1952674
Ch6:;  283148;  570980
Ch7:;  281652;  483215
Ch8:;  282028; 1125765
V:;    1422
Ch0:; 4438729; 6005256
Ch1:; 4434032; 5294130
Ch2:; 4408823; 5309250
Ch3:; 4402748; 5021944
Ch4:;     139;   64705
Ch5:;  255331; 2090047
Ch6:;  279128;  545826
Ch7:;  278310;  482445
Ch8:;  278171; 1015717
V:;    1628
Ch0:; 4441363; 6024705
Ch1:; 4431314; 5296318
Ch2:; 4404846; 5332990
Ch3:; 4397382; 5033914
Ch4:;     231;   67021
Ch5:;  257571; 2289531
Ch6:;  284233;  573583
Ch7:;  283303;  492953
Ch8:;  282940; 1122548
V:;    1521
Ch0:; 4439463; 6014053
Ch1:; 4437403; 5318657
Ch2:; 4406001; 5330429
Ch3:; 4406703; 5032510
Ch4:;      72;   66975
Ch5:;  256179; 2528511
Ch6:;  279729;  547427
Ch7:;  278392;  489623
Ch8:;  278607; 1071003
V:;    1695
