,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
300,1094530.0,3110711.0,512018.0,2534573.0,905442.0,1589689.0,424902.0,865981.0
301,1094333.0,3119649.0,510883.0,2525055.0,907778.0,1596868.0,425545.0,865560.0
302,1094887.0,3139194.0,519658.0,2536617.0,905567.0,1588182.0,425608.0,866195.0
303,1093971.0,3169761.0,514490.0,2552253.0,895258.0,1581072.0,425057.0,865652.0
304,1093282.0,3147414.0,511921.0,2564545.0,912575.0,1599815.0,425025.0,866235.0
305,1094123.0,3116332.0,509156.0,2498114.0,906383.0,1586165.0,424905.0,865312.0
306,1093394.0,3137908.0,523861.0,2563223.0,907422.0,1595276.0,424080.0,865482.0
307,1094027.0,3134733.0,520743.0,2482751.0,900712.0,1595796.0,425384.0,865852.0
308,1093839.0,3128208.0,524159.0,2536606.0,894243.0,1583232.0,425140.0,865631.0
309,1094175.0,3125803.0,526550.0,2537766.0,907314.0,1591983.0,424551.0,866203.0
310,1093264.0,3131039.0,514129.0,2526979.0,905060.0,1596516.0,424503.0,866019.0
311,1094770.0,3145037.0,511383.0,2533243.0,906942.0,1598993.0,425309.0,865915.0
312,1094934.0,3157729.0,536391.0,2521804.0,897231.0,1591684.0,425646.0,866270.0
313,1094493.0,3125336.0,534221.0,2546877.0,893521.0,1583511.0,425379.0,865904.0
314,1093841.0,3147242.0,524529.0,2531368.0,911905.0,1593104.0,424749.0,866177.0
315,1093459.0,3117935.0,531246.0,2545267.0,908665.0,1596737.0,425491.0,865019.0
316,1094709.0,3163218.0,541581.0,2564569.0,902650.0,1587290.0,425285.0,866077.0
317,1093589.0,3151977.0,513526.0,2532175.0,896746.0,1585549.0,424647.0,866231.0
318,1093631.0,3098713.0,523442.0,2530784.0,909188.0,1594242.0,425180.0,865922.0
319,1094352.0,3151389.0,515259.0,2500318.0,900581.0,1585542.0,425201.0,866253.0
320,1093639.0,3156656.0,514059.0,2571792.0,901874.0,1583238.0,424937.0,866086.0
321,1093631.0,3127658.0,534863.0,2506813.0,913786.0,1602467.0,424987.0,866164.0
322,1094791.0,3157347.0,509690.0,2539770.0,905095.0,1594858.0,425173.0,866101.0
323,1093964.0,3112549.0,530703.0,2513341.0,902472.0,1584955.0,425203.0,866580.0
324,1093249.0,3143669.0,493067.0,2541173.0,903960.0,1580965.0,424663.0,866468.0
325,1094236.0,3140430.0,510110.0,2540694.0,910249.0,1600502.0,425139.0,866035.0
326,1094231.0,3158260.0,538929.0,2526748.0,903919.0,1590660.0,425008.0,866050.0
327,1093438.0,3169420.0,547664.0,2561858.0,907939.0,1585038.0,424925.0,865954.0
328,1094025.0,3127094.0,514511.0,2500323.0,903023.0,1591426.0,425269.0,866504.0
329,1093614.0,3152759.0,529889.0,2573366.0,903588.0,1580077.0,425092.0,865919.0
330,1094508.0,3149735.0,520867.0,2550849.0,896960.0,1583162.0,425033.0,865774.0
331,1094539.0,3117255.0,522027.0,2522521.0,908126.0,1600209.0,425017.0,865650.0
332,1093485.0,3132100.0,512437.0,2565112.0,906097.0,1594906.0,425296.0,866261.0
333,1093306.0,3111347.0,493861.0,2518727.0,894499.0,1583145.0,424579.0,866162.0
334,1094050.0,3153006.0,513750.0,2528996.0,905294.0,1597176.0,424317.0,866422.0
335,1094053.0,3121683.0,481094.0,2500897.0,905453.0,1593922.0,425278.0,866346.0
336,1093933.0,3149334.0,518177.0,2523951.0,897357.0,1591620.0,425085.0,866376.0
337,1094595.0,3149987.0,536225.0,2519299.0,899709.0,1582815.0,425202.0,865751.0
338,1093893.0,3170082.0,535738.0,2580903.0,902180.0,1586617.0,424989.0,865929.0
339,1093930.0,3141619.0,521834.0,2559222.0,910574.0,1589778.0,425290.0,866376.0
340,1094831.0,3123825.0,522153.0,2559430.0,906855.0,1597992.0,425493.0,866382.0
341,1094355.0,3109551.0,493003.0,2508659.0,900629.0,1597338.0,425040.0,865969.0
342,1093885.0,3120833.0,489575.0,2487886.0,894552.0,1581942.0,424902.0,866327.0
343,1093814.0,3144199.0,532168.0,2525911.0,900422.0,1594671.0,424625.0,865572.0
344,1093938.0,3147107.0,517888.0,2511954.0,910201.0,1593893.0,425519.0,866107.0
345,1093094.0,3162312.0,541578.0,2556772.0,909955.0,1596788.0,424994.0,865754.0
346,1094344.0,3129827.0,502432.0,2495214.0,902121.0,1588879.0,425373.0,866014.0
347,1094378.0,3127944.0,524898.0,2534912.0,906898.0,1582235.0,424644.0,866074.0
348,1094348.0,3122921.0,522202.0,2550980.0,914252.0,1595410.0,425090.0,866532.0
349,1093753.0,3105190.0,514074.0,2517436.0,898013.0,1584606.0,424878.0,866357.0
350,1093537.0,3144455.0,518049.0,2529189.0,895762.0,1584661.0,424612.0,866211.0
351,1094767.0,3137270.0,505367.0,2498645.0,904333.0,1591305.0,425423.0,866401.0
352,1094585.0,3139874.0,514764.0,2543050.0,908732.0,1591479.0,425257.0,866431.0
353,1093291.0,3160001.0,515192.0,2544599.0,904844.0,1592567.0,425350.0,866955.0
354,1094523.0,3128041.0,517755.0,2492670.0,898592.0,1585361.0,425287.0,866371.0
355,1094168.0,3143008.0,523369.0,2561405.0,899514.0,1586497.0,424845.0,866598.0
356,1094786.0,3165039.0,496853.0,2550493.0,908428.0,1592160.0,425667.0,866396.0
357,1093239.0,3131569.0,499202.0,2520112.0,893867.0,1596310.0,425542.0,866002.0
358,1094019.0,3142494.0,513492.0,2526133.0,896142.0,1583922.0,425123.0,866360.0
359,1093841.0,3117223.0,526528.0,2509818.0,901364.0,1591430.0,424780.0,865971.0
360,1092743.0,3123044.0,517388.0,2534293.0,907501.0,1598940.0,424593.0,865767.0
361,1093853.0,3099800.0,548717.0,2523783.0,910665.0,1594278.0,425026.0,865891.0
362,1094051.0,3115259.0,542747.0,2522695.0,900289.0,1590695.0,425417.0,866712.0
363,1092796.0,3132747.0,510744.0,2547857.0,899217.0,1580850.0,424408.0,866157.0
364,1092954.0,3147482.0,536632.0,2532791.0,909221.0,1597899.0,424680.0,866617.0
365,1094420.0,3135318.0,469697.0,2519205.0,908201.0,1595876.0,425068.0,865921.0
366,1094150.0,3120100.0,506264.0,2498035.0,905089.0,1594034.0,425725.0,865632.0
367,1093012.0,3135162.0,531225.0,2566421.0,901148.0,1592547.0,424342.0,865996.0
368,1094527.0,3144668.0,498548.0,2507025.0,901460.0,1600297.0,425048.0,866335.0
369,1094212.0,3122239.0,544338.0,2532423.0,894885.0,1584279.0,424936.0,866612.0
370,1094238.0,3160787.0,507416.0,2513308.0,903660.0,1596462.0,425407.0,866033.0
371,1093655.0,3142931.0,523484.0,2540037.0,905351.0,1587981.0,425436.0,866130.0
372,1093365.0,3121630.0,518617.0,2527260.0,893028.0,1590806.0,424449.0,866591.0
373,1094406.0,3113615.0,515070.0,2551584.0,908424.0,1586367.0,424805.0,866248.0
374,1093839.0,3149209.0,509353.0,2489161.0,905673.0,1600807.0,425602.0,865665.0
375,1093028.0,3166530.0,508478.0,2560973.0,900487.0,1597633.0,425202.0,866770.0
376,1094230.0,3147863.0,513121.0,2530618.0,901531.0,1581807.0,424762.0,865889.0
377,1092958.0,3130412.0,501722.0,2507586.0,903040.0,1598664.0,425123.0,865619.0
378,1094490.0,3141939.0,507412.0,2529955.0,895795.0,1584978.0,424939.0,865965.0
379,1093064.0,3161920.0,507055.0,2546080.0,900092.0,1600039.0,424928.0,865508.0
380,1094341.0,3152674.0,520530.0,2556723.0,898502.0,1589009.0,425390.0,866432.0
381,1094048.0,3138482.0,530794.0,2539129.0,902447.0,1579504.0,424678.0,866459.0
382,1092780.0,3121489.0,518293.0,2540795.0,910328.0,1594639.0,424544.0,866064.0
383,1093584.0,3151115.0,529093.0,2504849.0,900905.0,1590587.0,424868.0,866356.0
384,1093607.0,3150237.0,545532.0,2548700.0,898906.0,1575517.0,425327.0,866330.0
385,1094161.0,3131263.0,503555.0,2525969.0,908924.0,1593869.0,424787.0,865440.0
386,1094701.0,3135864.0,489799.0,2533488.0,901602.0,1589225.0,424861.0,866317.0
387,1094225.0,3138494.0,522887.0,2518802.0,895848.0,1580482.0,425166.0,865679.0
388,1093618.0,3178306.0,515070.0,2524617.0,902067.0,1586982.0,425508.0,866548.0
389,1092876.0,3168532.0,523649.0,2537997.0,905647.0,1591527.0,425027.0,865703.0
390,1093941.0,3132034.0,512205.0,2531149.0,895476.0,1580798.0,424961.0,866860.0
391,1094342.0,3138763.0,518541.0,2537721.0,905011.0,1597446.0,424704.0,865566.0
392,1093933.0,3108596.0,478667.0,2530161.0,899402.0,1594645.0,425169.0,866262.0
393,1093656.0,3160682.0,500569.0,2518448.0,901739.0,1581198.0,424187.0,865996.0
394,1093275.0,3143390.0,520032.0,2549484.0,907311.0,1595570.0,424363.0,866099.0
395,1093975.0,3142689.0,526500.0,2547754.0,906082.0,1592786.0,424763.0,866274.0
396,1093247.0,3147694.0,515015.0,2520268.0,892539.0,1586078.0,424880.0,866267.0
397,1094198.0,3165406.0,511475.0,2544619.0,902351.0,1589243.0,425408.0,865582.0
398,1094388.0,3132861.0,511351.0,2501720.0,903933.0,1591962.0,425024.0,866183.0
399,1094645.0,3166111.0,498730.0,2559634.0,906130.0,1593855.0,425375.0,866940.0
400,1094319.0,3155856.0,513642.0,2567207.0,901847.0,1589958.0,424391.0,866661.0
401,1093263.0,3130661.0,522987.0,2502419.0,891652.0,1584457.0,424267.0,865836.0
402,1092648.0,3119809.0,530003.0,2567397.0,909826.0,1595437.0,424545.0,865445.0
403,1094436.0,3144380.0,515795.0,2550004.0,899944.0,1585606.0,424649.0,866201.0
404,1093459.0,3121241.0,514519.0,2545416.0,900356.0,1579524.0,424934.0,866391.0
405,1093660.0,3147861.0,526237.0,2533448.0,893360.0,1590617.0,424668.0,865786.0
406,1094521.0,3136547.0,504667.0,2555941.0,908271.0,1597125.0,425200.0,866233.0
407,1094981.0,3125983.0,502862.0,2523983.0,906564.0,1590958.0,425222.0,866105.0
408,1094190.0,3137358.0,509750.0,2525039.0,894277.0,1589540.0,425498.0,865485.0
409,1093189.0,3172756.0,521355.0,2530639.0,917547.0,1595310.0,425465.0,866484.0
410,1094614.0,3161281.0,517356.0,2562064.0,897771.0,1587831.0,424788.0,866321.0
411,1093830.0,3126789.0,497483.0,2537860.0,901602.0,1584951.0,425249.0,866421.0
412,1094402.0,3145413.0,535754.0,2509766.0,910799.0,1593335.0,425044.0,866508.0
413,1093564.0,3172319.0,551922.0,2551745.0,897346.0,1589567.0,425108.0,866441.0
414,1093044.0,3140115.0,509845.0,2524285.0,907687.0,1592205.0,424723.0,865544.0
415,1094024.0,3166009.0,526105.0,2531056.0,902913.0,1594121.0,424541.0,866638.0
416,1093748.0,3152973.0,535312.0,2534517.0,899139.0,1584964.0,424599.0,866678.0
417,1093569.0,3126345.0,500531.0,2506640.0,890027.0,1582567.0,424253.0,866159.0
418,1094199.0,3146049.0,520097.0,2570852.0,901051.0,1587538.0,425198.0,865266.0
419,1094309.0,3136954.0,498773.0,2525236.0,912022.0,1595226.0,425158.0,866547.0
420,1094597.0,3129597.0,509417.0,2499319.0,905818.0,1594629.0,425233.0,865988.0
421,1093665.0,3150613.0,501491.0,2548755.0,899836.0,1582952.0,424645.0,865782.0
422,1094367.0,3150394.0,538613.0,2535297.0,896777.0,1593872.0,424128.0,865530.0
423,1093486.0,3118077.0,515438.0,2518496.0,908995.0,1593385.0,424768.0,865335.0
424,1093955.0,3113929.0,517132.0,2500031.0,908245.0,1589516.0,424715.0,865834.0
425,1094676.0,3117311.0,526078.0,2532274.0,894722.0,1580511.0,424636.0,866070.0
426,1094298.0,3144311.0,496985.0,2550989.0,904127.0,1595994.0,424877.0,866240.0
427,1093659.0,3137512.0,545249.0,2576866.0,909533.0,1592735.0,425732.0,866123.0
428,1094343.0,3148118.0,493952.0,2528078.0,909553.0,1596187.0,425123.0,865879.0
429,1094204.0,3127777.0,513281.0,2556150.0,903966.0,1584337.0,424702.0,866233.0
430,1094235.0,3148238.0,496848.0,2543640.0,903692.0,1580702.0,424102.0,866216.0
431,1093075.0,3124201.0,535226.0,2537046.0,903135.0,1594807.0,424661.0,866017.0
432,1094376.0,3158715.0,542741.0,2534420.0,901902.0,1589158.0,425122.0,865860.0
433,1093760.0,3138261.0,487419.0,2522666.0,894421.0,1584750.0,424516.0,865782.0
434,1092383.0,3128048.0,504582.0,2514223.0,905403.0,1601282.0,424226.0,865968.0
435,1093753.0,3144642.0,518802.0,2550759.0,910539.0,1587677.0,424647.0,866191.0
436,1093839.0,3131667.0,509428.0,2530567.0,894237.0,1588476.0,424154.0,865860.0
437,1092877.0,3151809.0,526295.0,2544508.0,908165.0,1593975.0,424611.0,866183.0
438,1093259.0,3130977.0,499631.0,2532613.0,907579.0,1594458.0,424745.0,866445.0
439,1093981.0,3150142.0,505410.0,2528838.0,903199.0,1592376.0,425186.0,866350.0
440,1093390.0,3136996.0,505481.0,2539230.0,897053.0,1582464.0,424162.0,866511.0
441,1094022.0,3132695.0,500198.0,2547205.0,901657.0,1586658.0,424282.0,866178.0
442,1093832.0,3119740.0,517207.0,2546232.0,905783.0,1596131.0,424112.0,865884.0
443,1094081.0,3149717.0,494541.0,2513770.0,906456.0,1591853.0,424373.0,866136.0
444,1093358.0,3156900.0,530215.0,2539332.0,902189.0,1585014.0,424381.0,866482.0
445,1094157.0,3144118.0,487428.0,2507828.0,893623.0,1591689.0,424270.0,866201.0
446,1094129.0,3118487.0,511253.0,2572912.0,907368.0,1596263.0,424774.0,865870.0
447,1093315.0,3137274.0,489972.0,2493732.0,904935.0,1592628.0,424493.0,867042.0
448,1093788.0,3144468.0,562566.0,2545012.0,903935.0,1586827.0,425099.0,866036.0
449,1093998.0,3148743.0,518782.0,2558118.0,897095.0,1583440.0,424492.0,866177.0
450,1093340.0,3155644.0,516458.0,2541673.0,906391.0,1588520.0,424682.0,866106.0
451,1093071.0,3129285.0,518362.0,2549805.0,906003.0,1596301.0,424289.0,865502.0
452,1095039.0,3145033.0,503658.0,2535820.0,903947.0,1595285.0,425490.0,865981.0
453,1093226.0,3144168.0,527452.0,2545878.0,895944.0,1587408.0,424998.0,865604.0
454,1093162.0,3129871.0,570953.0,2536776.0,899686.0,1577766.0,424818.0,866584.0
455,1092783.0,3137460.0,530231.0,2546602.0,901324.0,1585252.0,424598.0,866637.0
456,1092927.0,3136178.0,510367.0,2533231.0,916760.0,1591531.0,424675.0,866363.0
457,1093533.0,3124843.0,496140.0,2531892.0,904440.0,1587470.0,424921.0,866960.0
458,1094028.0,3106299.0,493204.0,2532157.0,892708.0,1585945.0,424412.0,865723.0
459,1093671.0,3136815.0,531538.0,2510228.0,899484.0,1585435.0,424520.0,866066.0
460,1093564.0,3110925.0,512070.0,2535125.0,907841.0,1602409.0,424571.0,865685.0
461,1093366.0,3151500.0,553705.0,2535614.0,909541.0,1594296.0,424194.0,866534.0
462,1092737.0,3143218.0,508786.0,2500516.0,900736.0,1580044.0,424503.0,866358.0
463,1093677.0,3161483.0,494644.0,2541274.0,901459.0,1596493.0,423865.0,866403.0
464,1093051.0,3130899.0,496843.0,2549350.0,908057.0,1590580.0,424221.0,866623.0
465,1093747.0,3127370.0,515200.0,2527317.0,907227.0,1590150.0,424728.0,866065.0
466,1094521.0,3108268.0,517037.0,2499629.0,905154.0,1583814.0,424710.0,866423.0
467,1093930.0,3139702.0,490888.0,2537160.0,902834.0,1599308.0,424991.0,866465.0
468,1094091.0,3150808.0,524110.0,2567275.0,906244.0,1588887.0,424406.0,866207.0
469,1094062.0,3158662.0,530554.0,2532978.0,899537.0,1587714.0,424596.0,865796.0
470,1093442.0,3137003.0,510168.0,2512193.0,901695.0,1582101.0,424416.0,865654.0
471,1093200.0,3146224.0,536357.0,2547042.0,906760.0,1579578.0,423696.0,865657.0
472,1092329.0,3137088.0,506857.0,2540897.0,909937.0,1594031.0,423904.0,865787.0
473,1092346.0,3154967.0,532748.0,2515618.0,905567.0,1596176.0,423677.0,865893.0
474,1093678.0,3149508.0,538342.0,2570207.0,904368.0,1592738.0,424887.0,866061.0
475,1094460.0,3151400.0,516477.0,2567626.0,907359.0,1586481.0,424674.0,866011.0
476,1094118.0,3154939.0,519403.0,2544954.0,891178.0,1580380.0,424415.0,866265.0
477,1093100.0,3131345.0,526567.0,2567502.0,901124.0,1589055.0,424437.0,865675.0
478,1093331.0,3123813.0,479815.0,2505810.0,886305.0,1584968.0,424483.0,865765.0
479,1093717.0,3151419.0,498907.0,2548577.0,907839.0,1596479.0,424826.0,866228.0
480,1094118.0,3129330.0,518582.0,2561901.0,892552.0,1586932.0,424397.0,866496.0
481,1094021.0,3145676.0,519058.0,2495158.0,899400.0,1578076.0,424316.0,865674.0
482,1092942.0,3165115.0,551417.0,2560275.0,899403.0,1596256.0,424043.0,866086.0
483,1093463.0,3126998.0,515896.0,2529324.0,907607.0,1597100.0,424381.0,865995.0
484,1093386.0,3113776.0,526246.0,2527095.0,905448.0,1591449.0,424296.0,867008.0
485,1094298.0,3147761.0,508651.0,2541001.0,895308.0,1586975.0,424493.0,866844.0
486,1093694.0,3139995.0,508190.0,2514174.0,893092.0,1586697.0,424014.0,866143.0
487,1093462.0,3134687.0,510375.0,2548221.0,894363.0,1595036.0,423660.0,865518.0
488,1093270.0,3166551.0,529058.0,2545406.0,905809.0,1603703.0,424712.0,865592.0
489,1092897.0,3103354.0,493062.0,2492447.0,902218.0,1588611.0,423994.0,866642.0
490,1093461.0,3135759.0,527862.0,2535526.0,897450.0,1581727.0,424308.0,865786.0
491,1092174.0,3144642.0,506818.0,2517575.0,907388.0,1583533.0,423693.0,865972.0
492,1093056.0,3151415.0,514840.0,2577696.0,907067.0,1589823.0,424095.0,866549.0
493,1092913.0,3152777.0,517052.0,2525171.0,903444.0,1593619.0,424160.0,866416.0
494,1092950.0,3145617.0,509156.0,2533701.0,898792.0,1588543.0,423894.0,865456.0
495,1093763.0,3167712.0,515813.0,2572962.0,898187.0,1591968.0,424323.0,866109.0
496,1093814.0,3132335.0,543565.0,2532622.0,895171.0,1586858.0,424716.0,866053.0
497,1093329.0,3132439.0,497672.0,2539571.0,885805.0,1589212.0,424321.0,866247.0
498,1092278.0,3167455.0,529734.0,2538522.0,894405.0,1592018.0,423963.0,865232.0
499,1093161.0,3138497.0,523286.0,2565669.0,901931.0,1595308.0,424228.0,866084.0
500,1093197.0,3154906.0,514118.0,2533500.0,899662.0,1578676.0,424256.0,865542.0
501,1093610.0,3128831.0,514293.0,2541580.0,902557.0,1586967.0,424087.0,866145.0
502,1092960.0,3104346.0,533206.0,2528588.0,896176.0,1591494.0,424306.0,866608.0
503,1093007.0,3153155.0,502260.0,2531360.0,888638.0,1584812.0,423706.0,865842.0
504,1093836.0,3151021.0,501186.0,2523457.0,908656.0,1596792.0,423704.0,866247.0
505,1093351.0,3174652.0,540983.0,2530768.0,905566.0,1596871.0,423759.0,865484.0
506,1092165.0,3142377.0,515594.0,2576753.0,905974.0,1589911.0,424230.0,866475.0
507,1092944.0,3130128.0,491822.0,2480618.0,899698.0,1590450.0,424933.0,866388.0
508,1093118.0,3147702.0,527295.0,2577776.0,898114.0,1584829.0,424612.0,866189.0
509,1093620.0,3152577.0,487606.0,2524299.0,893106.0,1581490.0,424240.0,865957.0
510,1093276.0,3148053.0,526132.0,2552748.0,893506.0,1589871.0,423726.0,866222.0
511,1093618.0,3152023.0,547767.0,2513780.0,902163.0,1585393.0,423904.0,865534.0
512,1093410.0,3142056.0,522176.0,2541317.0,903487.0,1587708.0,423960.0,866005.0
513,1092862.0,3160958.0,530613.0,2565757.0,892580.0,1580983.0,424001.0,865449.0
514,1093160.0,3138388.0,500874.0,2497962.0,906535.0,1589856.0,423884.0,865732.0
515,1093326.0,3138654.0,524846.0,2542961.0,909704.0,1588555.0,424622.0,865941.0
516,1092591.0,3153926.0,493192.0,2518789.0,896418.0,1588061.0,424763.0,866187.0
517,1093008.0,3157549.0,535009.0,2558322.0,894414.0,1586582.0,423598.0,866313.0
518,1091926.0,3136324.0,530333.0,2547557.0,899310.0,1583213.0,423392.0,865691.0
519,1092622.0,3141155.0,506281.0,2528666.0,900403.0,1587873.0,424127.0,865158.0
520,1093356.0,3123996.0,498432.0,2501013.0,897777.0,1581069.0,424160.0,865750.0
521,1093364.0,3165503.0,543158.0,2572055.0,902109.0,1590075.0,423907.0,865826.0
522,1093525.0,3121816.0,511381.0,2552256.0,899296.0,1589704.0,424108.0,865502.0
523,1093231.0,3129500.0,503837.0,2522830.0,905355.0,1587226.0,424148.0,866169.0
524,1092507.0,3130807.0,514055.0,2559446.0,894906.0,1586230.0,423890.0,866153.0
525,1092206.0,3142689.0,488656.0,2539279.0,895689.0,1577094.0,423679.0,865393.0
526,1092674.0,3126471.0,532738.0,2551319.0,904512.0,1591605.0,423433.0,865696.0
527,1092802.0,3164791.0,544881.0,2574912.0,902578.0,1584751.0,424013.0,865914.0
528,1092477.0,3164683.0,522728.0,2558460.0,890594.0,1581084.0,424103.0,865837.0
529,1092575.0,3163037.0,510920.0,2542099.0,887782.0,1581894.0,423453.0,865906.0
530,1092132.0,3130392.0,491684.0,2522115.0,904025.0,1591171.0,422985.0,866726.0
531,1092647.0,3161042.0,497845.0,2550737.0,908294.0,1596653.0,423880.0,866263.0
532,1092869.0,3134136.0,483855.0,2511863.0,903855.0,1584943.0,423937.0,866384.0
533,1091941.0,3142027.0,510687.0,2543289.0,893607.0,1581597.0,423882.0,866350.0
534,1093412.0,3146231.0,539045.0,2534938.0,897120.0,1587800.0,423397.0,865607.0
535,1092726.0,3130794.0,500640.0,2548603.0,905727.0,1590525.0,424106.0,866424.0
536,1091698.0,3142486.0,513643.0,2538575.0,901044.0,1582778.0,423661.0,865499.0
537,1091866.0,3138931.0,506862.0,2517404.0,909326.0,1592323.0,423529.0,864873.0
538,1092902.0,3120042.0,519700.0,2520937.0,890395.0,1583626.0,423721.0,865796.0
539,1093031.0,3149735.0,511679.0,2533305.0,901371.0,1585594.0,423563.0,865664.0
540,1093528.0,3117981.0,517385.0,2547208.0,905899.0,1598667.0,424856.0,866303.0
541,1092322.0,3145406.0,541698.0,2540626.0,903657.0,1589317.0,423654.0,866036.0
542,1092789.0,3122719.0,510965.0,2539259.0,893701.0,1582064.0,423264.0,865271.0
543,1091815.0,3126290.0,508388.0,2550404.0,904444.0,1595145.0,423770.0,865909.0
544,1092005.0,3170850.0,541018.0,2555182.0,898780.0,1578800.0,423875.0,865754.0
545,1092362.0,3155358.0,533340.0,2538144.0,890739.0,1588034.0,423116.0,865651.0
546,1092247.0,3146652.0,502266.0,2492393.0,894299.0,1584483.0,423895.0,866047.0
547,1093181.0,3158966.0,505407.0,2546899.0,911271.0,1596763.0,423381.0,866208.0
548,1092432.0,3138170.0,530197.0,2552479.0,907014.0,1593436.0,424256.0,865765.0
549,1093599.0,3151280.0,518825.0,2539210.0,901325.0,1583435.0,424158.0,866620.0
550,1092541.0,3140519.0,507737.0,2530346.0,897553.0,1585109.0,423954.0,866036.0
551,1092556.0,3142479.0,522013.0,2530239.0,902029.0,1588737.0,423569.0,865782.0
552,1091040.0,3138461.0,536191.0,2564373.0,902394.0,1595312.0,423433.0,865045.0
553,1091820.0,3150219.0,533855.0,2517232.0,896893.0,1587959.0,423869.0,864953.0
554,1092849.0,3129413.0,559415.0,2575613.0,897447.0,1581125.0,423848.0,865904.0
555,1092885.0,3161001.0,485234.0,2495290.0,910176.0,1592086.0,423595.0,865646.0
556,1092492.0,3128994.0,551773.0,2584579.0,910387.0,1590567.0,423976.0,865426.0
557,1092831.0,3144278.0,496097.0,2517951.0,906746.0,1590891.0,423688.0,865848.0
558,1092408.0,3122787.0,498555.0,2537729.0,903141.0,1592723.0,423665.0,865560.0
559,1093153.0,3144290.0,512062.0,2545003.0,910150.0,1586819.0,423699.0,866250.0
560,1091603.0,3150913.0,544665.0,2559182.0,899402.0,1583420.0,423780.0,865977.0
561,1093197.0,3145808.0,515510.0,2531826.0,898602.0,1578996.0,423704.0,866145.0
562,1092240.0,3163978.0,497056.0,2551257.0,894591.0,1584064.0,423272.0,866247.0
563,1093229.0,3157613.0,515182.0,2568082.0,891759.0,1580250.0,423405.0,866171.0
564,1092368.0,3137976.0,529916.0,2565591.0,886731.0,1581421.0,424508.0,865901.0
565,1091952.0,3138829.0,525827.0,2535506.0,894889.0,1582789.0,424064.0,865180.0
566,1093085.0,3143334.0,488286.0,2562561.0,906860.0,1588310.0,423760.0,865544.0
567,1091608.0,3155206.0,525503.0,2547612.0,901290.0,1592738.0,423613.0,865815.0
568,1092133.0,3137634.0,531428.0,2531452.0,908022.0,1596016.0,423769.0,865186.0
569,1091892.0,3155641.0,511178.0,2519258.0,908163.0,1592168.0,423288.0,866066.0
570,1092397.0,3175767.0,547748.0,2578237.0,908185.0,1585588.0,423683.0,865770.0
571,1092959.0,3111959.0,513122.0,2529259.0,900914.0,1585844.0,423883.0,866144.0
572,1093051.0,3149299.0,529097.0,2538072.0,903655.0,1583591.0,423774.0,865852.0
573,1092207.0,3162388.0,525822.0,2565964.0,892947.0,1583602.0,422882.0,865608.0
574,1093363.0,3178796.0,525684.0,2552049.0,896567.0,1577429.0,423784.0,865476.0
575,1092913.0,3133614.0,497553.0,2560396.0,893163.0,1582707.0,423997.0,866124.0
576,1091760.0,3152263.0,505454.0,2552917.0,894168.0,1580943.0,423214.0,865723.0
577,1091399.0,3157946.0,507852.0,2527947.0,901609.0,1595449.0,423079.0,865590.0
578,1091970.0,3180483.0,515981.0,2545751.0,904274.0,1590014.0,423804.0,865836.0
579,1092603.0,3140896.0,514510.0,2539539.0,896215.0,1583072.0,423489.0,866052.0
580,1092118.0,3129717.0,509603.0,2555515.0,900657.0,1579763.0,423292.0,865668.0
581,1092467.0,3129496.0,499548.0,2507340.0,897930.0,1583881.0,423353.0,865938.0
582,1092825.0,3124857.0,542173.0,2575212.0,894532.0,1582564.0,423443.0,866355.0
583,1092543.0,3149019.0,495976.0,2559302.0,893444.0,1579999.0,423043.0,865272.0
584,1091941.0,3134759.0,537835.0,2588428.0,893259.0,1579717.0,423315.0,865469.0
585,1092418.0,3162393.0,506603.0,2530293.0,906817.0,1590876.0,423357.0,865845.0
586,1091686.0,3172004.0,549824.0,2586366.0,904373.0,1584127.0,423043.0,865441.0
587,1092364.0,3162618.0,526276.0,2579223.0,900600.0,1581623.0,422885.0,865940.0
588,1091976.0,3159594.0,537251.0,2549697.0,892887.0,1579799.0,423176.0,865467.0
589,1092182.0,3130815.0,482879.0,2541451.0,892318.0,1581134.0,422778.0,865715.0
590,1092732.0,3158379.0,521537.0,2532991.0,897394.0,1582977.0,423061.0,865444.0
591,1092363.0,3150554.0,497919.0,2540956.0,891533.0,1579647.0,423223.0,865838.0
592,1092391.0,3155060.0,505938.0,2552021.0,898250.0,1586634.0,422922.0,865389.0
593,1091932.0,3165511.0,495028.0,2522909.0,894443.0,1583980.0,423625.0,866745.0
594,1092325.0,3169022.0,521545.0,2571650.0,895978.0,1585398.0,423263.0,866594.0
595,1092182.0,3177144.0,506705.0,2545364.0,900206.0,1581875.0,422958.0,865650.0
596,1091230.0,3136240.0,519891.0,2578769.0,901962.0,1585928.0,423962.0,866037.0
597,1093410.0,3129227.0,495065.0,2509188.0,899008.0,1588333.0,423540.0,865850.0
598,1092443.0,3153456.0,509464.0,2538507.0,906136.0,1590506.0,423927.0,865435.0
599,1091458.0,3131148.0,488787.0,2554271.0,896595.0,1581072.0,422924.0,865991.0
600,1092604.0,3142623.0,537221.0,2572345.0,888609.0,1578393.0,423219.0,865831.0
601,1092108.0,3126022.0,500596.0,2532142.0,888751.0,1582563.0,423155.0,865279.0
602,1091643.0,3143030.0,535914.0,2547817.0,899503.0,1580091.0,422724.0,865156.0
