,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
68,1093994.0,3156182.0,545256.0,2555220.0,902174.0,1582446.0,424684.0,864919.0
69,1094313.0,3151418.0,510896.0,2524400.0,903552.0,1590019.0,425553.0,865201.0
70,1093767.0,3115099.0,526611.0,2557157.0,908676.0,1598441.0,425266.0,865117.0
71,1093856.0,3116581.0,498076.0,2510053.0,900102.0,1585721.0,425141.0,864662.0
72,1094225.0,3149347.0,517613.0,2548576.0,893774.0,1588623.0,425039.0,865216.0
73,1094034.0,3125048.0,540724.0,2534030.0,908498.0,1597723.0,426079.0,865596.0
74,1093522.0,3150915.0,542908.0,2538948.0,901548.0,1594010.0,425064.0,865169.0
75,1094356.0,3144500.0,494755.0,2490412.0,901536.0,1590349.0,425660.0,865750.0
76,1093724.0,3127550.0,520550.0,2560312.0,911874.0,1602977.0,424671.0,865373.0
77,1094242.0,3122987.0,508622.0,2516118.0,895091.0,1586984.0,424960.0,864828.0
78,1093707.0,3142994.0,512643.0,2539325.0,911588.0,1597806.0,424889.0,865354.0
79,1094508.0,3153989.0,522576.0,2530253.0,901446.0,1596857.0,425109.0,865540.0
80,1094154.0,3134340.0,535886.0,2530164.0,904826.0,1593489.0,425035.0,865714.0
81,1094243.0,3135355.0,522285.0,2508083.0,908177.0,1597700.0,424982.0,864663.0
82,1094161.0,3170233.0,536828.0,2592543.0,898588.0,1583657.0,425669.0,865310.0
83,1093747.0,3118892.0,509314.0,2529768.0,912459.0,1595262.0,425488.0,865474.0
84,1093381.0,3158899.0,520520.0,2559676.0,892094.0,1586629.0,424951.0,865344.0
85,1093815.0,3159167.0,513891.0,2549430.0,903239.0,1596000.0,424922.0,864533.0
86,1094588.0,3143050.0,502566.0,2538935.0,907059.0,1595188.0,425302.0,865548.0
87,1092971.0,3142474.0,522256.0,2543102.0,904084.0,1590914.0,424888.0,864481.0
88,1094445.0,3136970.0,505088.0,2562738.0,892599.0,1587510.0,424746.0,864920.0
89,1094263.0,3137581.0,528475.0,2548005.0,906612.0,1592179.0,425130.0,865308.0
90,1093701.0,3139830.0,505769.0,2549579.0,898512.0,1585191.0,425539.0,865158.0
91,1093562.0,3163707.0,536858.0,2543661.0,895737.0,1590033.0,424963.0,865261.0
92,1093939.0,3132082.0,512951.0,2485968.0,908927.0,1606530.0,425355.0,865143.0
93,1094557.0,3133830.0,536225.0,2558903.0,896073.0,1585282.0,425208.0,864708.0
94,1095062.0,3122311.0,549934.0,2528159.0,897934.0,1590163.0,425196.0,866320.0
95,1094914.0,3137596.0,512657.0,2565319.0,915252.0,1594172.0,424973.0,864654.0
96,1094035.0,3144929.0,502784.0,2520459.0,901976.0,1588073.0,425013.0,865389.0
97,1093697.0,3144339.0,506660.0,2563227.0,899968.0,1592296.0,425076.0,865177.0
98,1094746.0,3174431.0,536797.0,2559456.0,909205.0,1599527.0,425692.0,865639.0
99,1093122.0,3139608.0,511597.0,2525201.0,906860.0,1590877.0,425470.0,864729.0
100,1094762.0,3146711.0,513064.0,2527250.0,902926.0,1589240.0,425408.0,866155.0
101,1092909.0,3153431.0,538120.0,2547055.0,906714.0,1595564.0,425193.0,865404.0
102,1094187.0,3126294.0,532138.0,2553158.0,905477.0,1587042.0,426151.0,864841.0
103,1093906.0,3131296.0,516033.0,2540765.0,908067.0,1597615.0,425255.0,864764.0
104,1093611.0,3146575.0,546880.0,2571826.0,902023.0,1588321.0,425615.0,865217.0
105,1094376.0,3169029.0,526001.0,2525375.0,911677.0,1596058.0,425617.0,864747.0
106,1094265.0,3118685.0,511075.0,2548952.0,891763.0,1578615.0,425023.0,865706.0
107,1094332.0,3158935.0,559355.0,2544591.0,910778.0,1590931.0,425517.0,865900.0
108,1094116.0,3191978.0,549373.0,2566109.0,892550.0,1583961.0,425363.0,865076.0
109,1094205.0,3129447.0,508364.0,2539263.0,909172.0,1597103.0,425536.0,865392.0
110,1094829.0,3143404.0,543923.0,2579412.0,910041.0,1594698.0,425684.0,865471.0
111,1094412.0,3123090.0,489405.0,2525465.0,901014.0,1588390.0,425166.0,865240.0
112,1092945.0,3134707.0,498239.0,2512796.0,907078.0,1594345.0,425048.0,865402.0
113,1094181.0,3151847.0,539773.0,2563513.0,903089.0,1600229.0,425379.0,866128.0
114,1094383.0,3146839.0,518862.0,2492840.0,902900.0,1581681.0,425027.0,865378.0
115,1093157.0,3135981.0,515680.0,2553634.0,909294.0,1596099.0,425291.0,864876.0
116,1093678.0,3152592.0,529675.0,2526823.0,898999.0,1581841.0,425390.0,864983.0
117,1093958.0,3159162.0,517537.0,2567749.0,906041.0,1591086.0,425247.0,865828.0
118,1093373.0,3156047.0,523102.0,2533183.0,895666.0,1582876.0,424808.0,864648.0
119,1093838.0,3140419.0,520574.0,2539672.0,897436.0,1591560.0,425184.0,865116.0
120,1093819.0,3126396.0,524937.0,2533762.0,907591.0,1588268.0,425060.0,865681.0
121,1093951.0,3146593.0,572322.0,2616394.0,899707.0,1579497.0,425186.0,865091.0
122,1094023.0,3134031.0,500365.0,2516243.0,904737.0,1593232.0,425226.0,865632.0
123,1093524.0,3135578.0,504825.0,2524572.0,905698.0,1580448.0,425019.0,865693.0
124,1093894.0,3154562.0,514838.0,2524374.0,907082.0,1590128.0,425377.0,865057.0
125,1094150.0,3132216.0,509901.0,2565480.0,897973.0,1588881.0,425225.0,865000.0
126,1093433.0,3130515.0,494927.0,2517120.0,902400.0,1592958.0,425766.0,866057.0
127,1094172.0,3121398.0,493628.0,2531610.0,905878.0,1594305.0,425383.0,864783.0
128,1094258.0,3112236.0,523180.0,2538504.0,902969.0,1593137.0,425245.0,865330.0
129,1094127.0,3160934.0,556599.0,2551050.0,902646.0,1601645.0,425150.0,865824.0
130,1093320.0,3147976.0,546169.0,2562097.0,912836.0,1591837.0,425885.0,865531.0
131,1093905.0,3138096.0,529620.0,2518445.0,893495.0,1581214.0,425410.0,865050.0
132,1094944.0,3155496.0,534507.0,2524281.0,909513.0,1593171.0,425668.0,865562.0
133,1093939.0,3156702.0,557721.0,2568367.0,904800.0,1587943.0,425186.0,865677.0
134,1093184.0,3160959.0,528329.0,2569877.0,902188.0,1592189.0,425619.0,864549.0
135,1093778.0,3146202.0,514660.0,2529254.0,905837.0,1591329.0,424956.0,865647.0
136,1094675.0,3142217.0,519226.0,2555112.0,898585.0,1595321.0,425410.0,865326.0
137,1093844.0,3134234.0,528626.0,2536889.0,904582.0,1599169.0,425668.0,865155.0
138,1093612.0,3151165.0,507632.0,2544516.0,901029.0,1589502.0,425119.0,865495.0
139,1093668.0,3152109.0,538644.0,2533317.0,909508.0,1592750.0,425659.0,865520.0
140,1093513.0,3120275.0,511334.0,2520931.0,896680.0,1583702.0,424805.0,864418.0
141,1093971.0,3156290.0,513960.0,2509573.0,902379.0,1583243.0,425588.0,865400.0
142,1094174.0,3186303.0,546845.0,2576452.0,911853.0,1598349.0,425709.0,865775.0
143,1094645.0,3132200.0,503937.0,2525147.0,895634.0,1593077.0,425262.0,865517.0
144,1094426.0,3183658.0,579061.0,2620274.0,904749.0,1593633.0,425499.0,865582.0
145,1094624.0,3137681.0,514724.0,2536624.0,900643.0,1583541.0,424613.0,865532.0
146,1094056.0,3147683.0,539679.0,2539832.0,909009.0,1594779.0,425140.0,865290.0
147,1093712.0,3130701.0,510183.0,2512312.0,919335.0,1596433.0,425322.0,865965.0
148,1094052.0,3125803.0,530987.0,2537756.0,905994.0,1593668.0,425187.0,865205.0
149,1093565.0,3105821.0,494018.0,2534232.0,892747.0,1584353.0,424824.0,865468.0
150,1093335.0,3163030.0,549605.0,2554610.0,920575.0,1595292.0,424707.0,865398.0
151,1094789.0,3138486.0,499985.0,2545516.0,904214.0,1592111.0,425592.0,865576.0
152,1094020.0,3163885.0,535385.0,2554504.0,904493.0,1602168.0,425646.0,865385.0
153,1094449.0,3102619.0,526702.0,2543340.0,904050.0,1591235.0,425278.0,865689.0
154,1094567.0,3112584.0,485245.0,2499629.0,916903.0,1602459.0,425395.0,865718.0
155,1094490.0,3110602.0,504610.0,2563429.0,898207.0,1595080.0,425452.0,865613.0
156,1093934.0,3122111.0,504110.0,2506598.0,906976.0,1600470.0,425220.0,865557.0
157,1093295.0,3135759.0,505719.0,2533425.0,907565.0,1593480.0,425165.0,865344.0
158,1094033.0,3136318.0,526072.0,2520586.0,913046.0,1597820.0,425155.0,865481.0
159,1094617.0,3156269.0,522953.0,2507928.0,899282.0,1582965.0,425082.0,865611.0
160,1094202.0,3176557.0,532047.0,2561650.0,910810.0,1600527.0,425451.0,865562.0
161,1093213.0,3179130.0,529526.0,2556515.0,899857.0,1590188.0,424950.0,865734.0
162,1094146.0,3109201.0,529317.0,2538826.0,918351.0,1600385.0,425208.0,865475.0
163,1092972.0,3136159.0,509339.0,2540292.0,898655.0,1584088.0,424788.0,866066.0
164,1093936.0,3126952.0,538381.0,2514173.0,907025.0,1591909.0,425613.0,866203.0
165,1093698.0,3100911.0,497381.0,2513704.0,905106.0,1589506.0,424891.0,865370.0
166,1094977.0,3140401.0,521977.0,2528233.0,901339.0,1589184.0,424707.0,865974.0
167,1093918.0,3166497.0,560591.0,2576825.0,910834.0,1597880.0,425490.0,865679.0
168,1094131.0,3136210.0,510294.0,2514476.0,886806.0,1587278.0,425029.0,865508.0
169,1093212.0,3127930.0,527069.0,2548155.0,910136.0,1600620.0,425906.0,866534.0
170,1094513.0,3109784.0,529149.0,2549943.0,904279.0,1595189.0,425743.0,865641.0
171,1094716.0,3120712.0,493530.0,2494908.0,898221.0,1587244.0,425445.0,865181.0
172,1093148.0,3155503.0,558100.0,2577804.0,912319.0,1593198.0,425514.0,865778.0
173,1093462.0,3158042.0,507542.0,2549859.0,899033.0,1588218.0,425013.0,865273.0
174,1094441.0,3132362.0,514690.0,2520687.0,900113.0,1593697.0,425126.0,865278.0
175,1094580.0,3138030.0,500837.0,2535544.0,912647.0,1597373.0,425391.0,865717.0
176,1094396.0,3122256.0,528408.0,2577806.0,899605.0,1593580.0,425507.0,865879.0
177,1094634.0,3129125.0,512465.0,2519386.0,902563.0,1586376.0,425057.0,865911.0
178,1095326.0,3148984.0,518169.0,2543318.0,910446.0,1595772.0,425577.0,865588.0
179,1094066.0,3167515.0,523513.0,2541095.0,908377.0,1601152.0,425321.0,865000.0
180,1096531.0,3144358.0,521806.0,2540736.0,898328.0,1590277.0,425470.0,865553.0
181,1094371.0,3125456.0,517075.0,2548743.0,909786.0,1596675.0,424763.0,865964.0
182,1094409.0,3160975.0,514728.0,2536536.0,913654.0,1597187.0,425473.0,865562.0
183,1094463.0,3149214.0,510813.0,2532203.0,900733.0,1593887.0,425496.0,865980.0
184,1094456.0,3135594.0,498715.0,2537144.0,910219.0,1595038.0,425057.0,865757.0
185,1093741.0,3146598.0,522603.0,2558952.0,911481.0,1594442.0,425227.0,864828.0
186,1094769.0,3157433.0,507640.0,2530652.0,894507.0,1583802.0,425591.0,865465.0
187,1095316.0,3146300.0,529354.0,2558663.0,909514.0,1603276.0,425118.0,866116.0
188,1094051.0,3122134.0,509695.0,2529257.0,906676.0,1599697.0,425246.0,866357.0
189,1094416.0,3120295.0,508281.0,2570156.0,904453.0,1587855.0,425546.0,865924.0
190,1094764.0,3119019.0,492716.0,2497937.0,903498.0,1589802.0,425229.0,866022.0
191,1094512.0,3136941.0,527235.0,2537142.0,906039.0,1598800.0,425515.0,865935.0
192,1092704.0,3147719.0,524378.0,2540333.0,896341.0,1581606.0,424478.0,865278.0
